url_anuncio,img_anuncio,categoria_anuncio,titulo_endereco,subtitulo_endereco,subtitulo_frase,preco,area_privativa,lista_detalhes,img_anunciante,nome_anunciante,creci,pagina
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-109-bloco-i-1044173,https://img.dfimoveis.com.br/fotos/1044173/9b0c82732753577ed3675ed402bbc924.webp?format=webp,Super Destaque,"SQNW 109 Bloco I, NOROESTE, BRASILIA",,Cobertura - 02 quartos - Vista Livre  - Nascente - Noroeste,2.400.000,158 m²,"158 m², 2 Quartos, 1 Suíte, 3 Vagas",https://img.dfimoveis.com.br/logos/112/100x68/b22970139ac38ce3e68eaa32c32e39db.jpg?format=webp,Moni Netimoveis,17097,1
/imovel/loja-0-quartos-venda-noroeste-brasilia-df-clnw-10-11-769230,https://img.dfimoveis.com.br/fotos/769230/9ae43c6edbe2611903db754a9a308d6d.jpg?format=webp,,"CLNW 10/11, NOROESTE, BRASILIA",,CLNW 10/11 - LOJA COM MEZANINO E DEPÓSITO,1.390.000,79 m²,"79 m², 2 Vagas",https://img.dfimoveis.com.br/logos/54/100x68/d8ead51afec61956ec532116a3a8352e.jpg?format=webp,Ferola Empreendimentos Imobiliários,11476,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-302-bloco-a-788031,https://img.dfimoveis.com.br/fotos/788031/940653cc41c8c6aa889150178e0cea76.jpg?format=webp,Super Destaque,"SQNW 302 Bloco A, NOROESTE, BRASILIA",,,1.025.000,64 m²,"64 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/7059/100x68/26d56f1033cb9bcc4ee57803b0d9be52.png?format=webp,BRASAL,11091,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-clnw-4-5-961109,https://img.dfimoveis.com.br/fotos/961109/eb3b36aafe49df5d72f5d18a3925f214.jpg?format=webp,Assinado Crosara Arquitetura,"CLNW 4/5, NOROESTE, BRASILIA",,"NOROESTE BRASILIA Apartamento de Canto à Venda – Mandarim By Villas Boas, Noroeste, CLNW 4/5",1.023.598,75 m²,"75 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/2736/100x68/ed40ababdba97a1e2d812bfb8e484682.png?format=webp,FGM Imóveis,28710,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-109-bloco-f-801880,https://img.dfimoveis.com.br/fotos/801880/0bb781fbf63b860e1a2166d16b67dfaa.jpg?format=webp,,"SQNW 109 Bloco F, NOROESTE, BRASILIA",,", Jardins Noroeste",2.039.000,170 m²,"170 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/90/100x68/d6b426ad1678eeef489d46d607cc4664.jpg?format=webp,Tetto Empreendimentos Imobiliários,13579,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-311-bloco-b-60743,https://img.dfimoveis.com.br/fotos/60743/38659f2459ef36881cc881ee1beadc23.jpg?format=webp,,"SQNW 311 Bloco B, NOROESTE, BRASILIA",,"SQNW 311! LINDA COBERTURA PARA COMPRA, 2 QUARTOS!",2.200.000,177 m²,"177 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/572/100x68/91eb4dedae096a5322ad452baa3b701c.jpg?format=webp,Alvaro Júnior Netimóveis,22126,1
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-106-334094,https://img.dfimoveis.com.br/fotos/334094/99a7300d7e9bf0c2c4833ab7e27456a5.jpg?format=webp,,"SQNW 106, NOROESTE, BRASILIA",,SQNW 106 - 4 suítes - andar alto - luxuoso,3.200.000,203 m²,"203 m², 4 Quartos, 4 Suítes, 4 Vagas",https://img.dfimoveis.com.br/logos/21/100x68/4732d4f316988b4529aa93163527ce4d.jpg?format=webp,Abdala Imóveis,16964,1
/imovel/loja-0-quartos-venda-noroeste-brasilia-df-clnw-10-11-lote-k-822370,https://img.dfimoveis.com.br/fotos/822370/5c2d26ad04c0901fe6a3f1888872ffc5.jpg?format=webp,,"CLNW 10/11 Lote K, NOROESTE, BRASILIA",,"NOROESTE, CLNW 10/11, SQUARE HOME & SHOP, LOJA COMERCIAL TÉRREA + MEZANINO, 2 VAGAS",1.170.000,67 m²,"67 m², 2 Vagas",https://img.dfimoveis.com.br/logos/67/100x68/b2c290b759dc6917cb2349167a1c8874.png?format=webp,Bordalo Imob,23764,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-clnw-4-5-lote-j-953979,https://img.dfimoveis.com.br/fotos/953979/264264b199bf394fac480a1cdda11c49.jpg?format=webp,,"CLNW 4/5 Lote J, NOROESTE, BRASILIA",,", MANDARIM BY VILLAS BOAS CLNW 4/5 - Apartamento de meio, vista livre, 2 quartos sendo, 1 suíte com 59,05m².",819.496,59 m²,"59 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/167/100x68/bc851b290ec8d6b1654165c3c561632d.png?format=webp,61 Imóveis,21418,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-303-bloco-h-1010288,https://img.dfimoveis.com.br/fotos/1010288/9153e78d0b6b3f471163746c99c2483c.jpg?format=webp,,"SQNW 303 Bloco H, NOROESTE, BRASILIA",,02 QUARTOS - NOROESTE - APARTAMENTO PRONTO,1.255.000,77 m²,"77 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/502/100x68/274913c59042572fe6e8f8de0d8f7690.jpg?format=webp,Fernandes & Coelho Imóveis,13374,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-302-bloco-d-903305,https://img.dfimoveis.com.br/fotos/903305/b1cd2a46dce306eb7d0bc7ed7a7632f8.jpg?format=webp,Super Destaque,"SQNW 302 Bloco D, NOROESTE, BRASILIA",,", Jardins dos Bougainvilles",1.997.000,148 m²,"148 m², 2 Quartos, 2 Suítes, 3 Vagas",https://img.dfimoveis.com.br/logos/7059/100x68/26d56f1033cb9bcc4ee57803b0d9be52.png?format=webp,BRASAL,11091,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-109-bloco-d-986057,https://img.dfimoveis.com.br/fotos/986057/e97a1ec80c9704f70e1e3364d0033287.jpg?format=webp,Super Destaque,"SQNW 109 Bloco D, NOROESTE, BRASILIA",,COBERTURA PORTEIRA FECHADA  - ARMARIOS - AR CONDICIONADO-COZINHA GOUMET,1.980.000,147 m²,"147 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/297/100x68/0741621d150da6d9db4b1a6b91d2e16f.jpg?format=webp,Smart Imob,24786,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-105-bloco-k-922407,https://img.dfimoveis.com.br/fotos/922407/45134624972cd35687b57d272d4a4845.jpg?format=webp,,"SQNW 105 Bloco K, NOROESTE, BRASILIA",,,1.290.000,74 m²,"74 m², 2 Quartos, 2 Suítes, 2 Vagas",https://img.dfimoveis.com.br/logos/7059/100x68/26d56f1033cb9bcc4ee57803b0d9be52.png?format=webp,BRASAL,11091,1
/imovel/galpo-0-quartos-venda-noroeste-brasilia-df-clnw-4-5-lote-j-953987,https://img.dfimoveis.com.br/fotos/953987/abb0577436449936ade7ce19e1612955.jpg?format=webp,,"CLNW 4/5 Lote J, NOROESTE, BRASILIA",,", MANDARIM BY VILLAS BOAS CLNW 4/5 - Lojas de canto, com mezanino, banheiro e uma vaga no subsolo com 81,45m².",1.303.200,81 m²,"81 m², 1 Vaga",https://img.dfimoveis.com.br/logos/167/100x68/bc851b290ec8d6b1654165c3c561632d.png?format=webp,61 Imóveis,21418,1
/imovel/galpo-0-quartos-venda-noroeste-brasilia-df-clnw-4-5-lote-h-1035867,https://img.dfimoveis.com.br/fotos/1035867/c5dd65d3161153d46a9a4664c28e858d.jpg?format=webp,,"CLNW 4/5 Lote H, NOROESTE, BRASILIA",,", Mandarim Loja Comercial no Noroeste",1.750.000,92 m²,"92 m², 1 Vaga",https://img.dfimoveis.com.br/logos/26/100x68/969d8019c36c3312770027e56ff20ca5.jpg?format=webp,Beiramar Imóveis,9486,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-302-bloco-d-1042133,https://img.dfimoveis.com.br/fotos/1042133/d9b5f5fccd775d50cdc56169dc895244.jpg?format=webp,,"SQNW 302 Bloco D, NOROESTE, BRASILIA",,"SQNW 302 - Apartamento 2 suítes, frente norte, 2 vagas de garagem - Noroeste",1.290.000,77 m²,"77 m², 2 Quartos, 2 Suítes, 2 Vagas",https://img.dfimoveis.com.br/logos/157/100x68/8cd68cd4cdbf9751a76ef385766dfcc4.jpg?format=webp,Alpha Brasilia Administradora de Imóveis,7240,1
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-110-bloco-g-1043784,https://img.dfimoveis.com.br/fotos/1043784/49a2e77dcb437351c37ab5effd6e23d4.jpg?format=webp,,"SQNW 110 Bloco G, NOROESTE, BRASILIA",,,4.270.000,320 m²,"320 m², 3 Quartos, 3 Suítes, 3 Vagas",https://img.dfimoveis.com.br/logos/2648/100x68/60587c48a7d10742049d8c8db8a6c39d.jpg?format=webp,Daleprane Inteligência Imobiliária,25937,1
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-110-bloco-g-1043784,https://img.dfimoveis.com.br/fotos/1043784/49a2e77dcb437351c37ab5effd6e23d4.jpg?format=webp,,"SQNW 110 Bloco G, NOROESTE, BRASILIA",,,4.270.000,320 m²,"320 m², 3 Quartos, 3 Suítes, 3 Vagas",https://img.dfimoveis.com.br/logos/2648/100x68/60587c48a7d10742049d8c8db8a6c39d.jpg?format=webp,Daleprane Inteligência Imobiliária,25937,2
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-306-988652,https://img.dfimoveis.com.br/fotos/988652/f001c3163baa3c5fafe07189577b2779.jpg?format=webp,,"SQNW 306, NOROESTE, BRASILIA",,Apartamento à venda no Parque dos Cedros Noroeste,3.128.000,166 m²,"166 m², 3 Quartos, 3 Suítes, 3 Vagas",https://img.dfimoveis.com.br/logos/26/100x68/969d8019c36c3312770027e56ff20ca5.jpg?format=webp,Beiramar Imóveis,9486,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-109-bloco-j-849222,https://img.dfimoveis.com.br/fotos/849222/15b1044a6b065768572d3d65aad52744.jpg?format=webp,,"SQNW 109 Bloco J, NOROESTE, BRASILIA",,duas vagas soltas,1.200.000,88 m²,"88 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/1247/100x68/97283cbb5826e3545cdd4c5671d8adea.png?format=webp,CM Scarpelo,18120,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-311-bloco-b-808325,https://img.dfimoveis.com.br/fotos/808325/0ac8b393bed3a9b588d545c5d0b6398c.jpg?format=webp,,"SQNW 311 Bloco B, NOROESTE, BRASILIA",,,1.199.000,88 m²,"88 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/5124/100x68/8e3fc19ff95d563015d195b7ff61e2fc.png?format=webp,Victor Cruz Negócios Imobiliários,27313,2
/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-310-998999,https://img.dfimoveis.com.br/fotos/998999/b7150a1e27ad3678fddf867b3e00fbae.jpg?format=webp,* Imóvel Seguro 18/08/2024,"SQNW 310, NOROESTE, BRASILIA",,Imobiliária Noroeste -Apartamento Noroeste à venda,950.000,66 m²,"66 m², 1 Quarto, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/167/100x68/bc851b290ec8d6b1654165c3c561632d.png?format=webp,61 Imóveis,21418,2
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-309-bloco-i-1033454,https://img.dfimoveis.com.br/fotos/1033454/28ccecb5a0d21baa644175972e72ff4a.jpg?format=webp,Super Destaque,"SQNW 309 Bloco I, NOROESTE, BRASILIA",,,1.500.000,103 m²,"103 m², 3 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/2087/100x68/4e8565871847ea52a0388c7c3ce88d15.jpg?format=webp,Avanti Imob,23022,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-311-bloco-b-1044064,https://img.dfimoveis.com.br/fotos/1044064/d1c541ed7676f8027fa0f2e0074ee882.jpg?format=webp,Super Destaque,"SQNW 311 Bloco B, NOROESTE, BRASILIA",,Descubra seu novo lar no Edifício Montparnasse!,1.200.000,86 m²,"86 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/125/100x68/964d7f630ed43689afe8ed68eeb7a106.jpg?format=webp,Êxito Netimóveis,5330,2
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-311-bloco-h-948615,https://img.dfimoveis.com.br/fotos/948615/7d1ea79c34a1921505cb18c5fa76016d.jpg?format=webp,Super Destaque,"SQNW 311 Bloco H, NOROESTE, BRASILIA",,Vivacité - 3 quartos 1 suíte - 103m² - Lazer - Financia - Noroeste,1.801.467,103 m²,"103 m², 3 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/7252/100x68/ed38fca876c39e296ea233e161f687ca.png?format=webp,Quadraimob Revenda,24.900,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-307-342320,https://img.dfimoveis.com.br/fotos/342320/6e6ea251ccc70cffd8429ec1524ee9e1.jpg?format=webp,,"SQNW 307, NOROESTE, BRASILIA",,,1.200.000,75 m²,"75 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/52/100x68/6aa5b29b666a282b28e9857d7517cbe3.jpg?format=webp,Lamartine Imóveis,9451,2
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-105-bloco-d-823137,https://img.dfimoveis.com.br/fotos/823137/47fcff1b3facf0e7c989dff60544fe7f.jpg?format=webp,Super Destaque,"SQNW 105 Bloco D, NOROESTE, BRASILIA",,- Yard Noroeste,1.793.290,110 m²,"110 m², 3 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/1539/100x68/d0b2c769c7b4f4b20dff3b86434f0d01.jpg?format=webp,Quadraimob,24900,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-302-bloco-a-1008056,https://img.dfimoveis.com.br/fotos/1008056/67527fcc26f6e4c92b61ada0e8301fe2.jpg?format=webp,,"SQNW 302 Bloco A, NOROESTE, BRASILIA",,,1.270.000,64 m²,"64 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/2648/100x68/60587c48a7d10742049d8c8db8a6c39d.jpg?format=webp,Daleprane Inteligência Imobiliária,25937,2
/imovel/kitnet-1-quarto-venda-noroeste-brasilia-df-crnw-510-bloco-a-lote-2-1046648,https://img.dfimoveis.com.br/fotos/1046648/1750431de8c523cba231fe414a3465ae.jpg?format=webp,,"CRNW 510 Bloco A Lote 2, NOROESTE, BRASILIA",,EXCELENTE LOCALIZAÇÃO,420.000,35 m²,"35 m², 1 Quarto, 1 Vaga",https://img.dfimoveis.com.br/logos/2616/100x68/5e28d83b6fcf0ebd5a904283a27a3362.jpg?format=webp,Rafael Imóveis,7534,2
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-102-947591,https://img.dfimoveis.com.br/fotos/947591/215f0af0a7df4b9dc7ba2a2d13d104fa.jpg?format=webp,* Imóvel Seguro 15/05/2024,"SQNW 102, NOROESTE, BRASILIA",,3 SUÍTES REFORMADO NA MELHOR POSIÇÃO DO NOROESTE,2.090.000,127 m²,"127 m², 3 Quartos, 3 Suítes, 2 Vagas",https://img.dfimoveis.com.br/logos/167/100x68/bc851b290ec8d6b1654165c3c561632d.png?format=webp,61 Imóveis,21418,2
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-309-784951,https://img.dfimoveis.com.br/fotos/784951/61f47751358e86475fef0212c9283122.jpg?format=webp,Super Destaque,"SQNW 309, NOROESTE, BRASILIA",,"SQNW 309 - Cobertura Duplex à venda, perpendicular, Noroeste",3.390.000,216 m²,"216 m², 3 Quartos, 3 Suítes",https://img.dfimoveis.com.br/logos/290/100x68/1760844431674fcc93483ea567b00a2e.jpg?format=webp,Paulo Duarte Imóveis,21696,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-108-bloco-j-923847,https://img.dfimoveis.com.br/fotos/923847/c053d166374fd2c01bde69a1f0b6de64.jpg?format=webp,,"SQNW 108 Bloco J, NOROESTE, BRASILIA",,", JARDINS BELA VISTA Noroeste Apartamento 2 quartos com armários e varanda à venda- SQNW 108 - DE CANTO",1.250.000,84 m²,"84 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/120/100x68/81952ba20de35d072a38893bf34c59fc.jpg?format=webp,Dall'Oca Imóveis ,4883,2
/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-clnw-10-11-1042025,https://img.dfimoveis.com.br/fotos/1042025/685ac98b6c5a3b07ce41630fe37b3b6a.jpg?format=webp,,"CLNW 10/11, NOROESTE, BRASILIA",,APTO PRONTO P MORAR +VG,450.000,32 m²,"32 m², 1 Quarto, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/1031/100x68/2a4a3dad52f83d642c0f4e2dd76736e2.jpg?format=webp,R Sul,20221,2
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-111-bloco-i-951187,https://img.dfimoveis.com.br/fotos/951187/7d3f47408cf14fecfe56603f2d9518f2.jpg?format=webp,,"SQNW 111 Bloco I, NOROESTE, BRASILIA",,Excelente oportunidade de ter uma vista privilegiada num local sensacional,2.300.000,157 m²,"157 m², 4 Quartos, 3 Suítes, 3 Vagas",https://img.dfimoveis.com.br/logos/2206/100x68/dcdce017135106edc4e09c067fd53865.jpg?format=webp,Antonio Bartasson,8505,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-108-bloco-g-1042327,https://img.dfimoveis.com.br/fotos/1042327/697fa17b3558feb3820ec7a32608725e.webp?format=webp,Super Destaque,"SQNW 108 Bloco G, NOROESTE, BRASILIA",,Duplex - SQNW 108 - Piscina,1.600.000,146 m²,"146 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/112/100x68/b22970139ac38ce3e68eaa32c32e39db.jpg?format=webp,Moni Netimoveis,17097,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-103-1001273,https://img.dfimoveis.com.br/fotos/1001273/ab61bc68996e68679f19d672f6252ee5.jpg?format=webp,,"SQNW 103, NOROESTE, BRASILIA",,LE PARC NOROESTE - 2 QUARTOS | 98243 8383,1.400.000,84 m²,"84 m², 2 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/3955/100x68/33d86ad402e869d9c7e3ba77e8a23717.jpg?format=webp,Juliano - My House,10929,2
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-103-bloco-b-764888,https://img.dfimoveis.com.br/fotos/764888/d38a8d3447cb29e77edf6d139674aa0b.jpg?format=webp,Super Destaque,"SQNW 103 Bloco B, NOROESTE, BRASILIA",,SQNW 103 - Cobertura Duplex 2 Quartos sendo 1 Suíte - Noroeste - ED. Jardins das Cerejeiras,2.100.000,169 m²,"169 m², 2 Quartos, 1 Suíte, 3 Vagas",https://img.dfimoveis.com.br/logos/157/100x68/8cd68cd4cdbf9751a76ef385766dfcc4.jpg?format=webp,Alpha Brasilia Administradora de Imóveis,7240,2
/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-310-997712,https://img.dfimoveis.com.br/fotos/997712/959d1dec7a425171c86312f09c556a13.jpg?format=webp,,"SQNW 310, NOROESTE, BRASILIA",,Cobertura de 1 quarto - Moderna - Porcelanato - Ar-condicionado - 2 Vagas de Garagem,950.000,66 m²,"66 m², 1 Quarto, 2 Vagas",https://img.dfimoveis.com.br/logos/2648/100x68/60587c48a7d10742049d8c8db8a6c39d.jpg?format=webp,Daleprane Inteligência Imobiliária,25937,2
